sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
TH,THAILAND,1,,0.81,UNCHECKED,UNREVIEWED,,0,41922554,Hailar,Geography,MAPS_TO,,<auto>,1658924396410,
SZ,SWAZILAND,1,,0.54,UNCHECKED,UNREVIEWED,,0,41966914,Waziers,Geography,MAPS_TO,,<auto>,1658924396460,
DE,DUITSLAND,1,,0.42,APPROVED,EQUAL,Stijn Dupulthys,1658928551581,41970930,Germany,Geography,MAPS_TO,,Stijn Dupulthys,1658928550795,
TL,OOST-TIMOR,1,,0.53,UNCHECKED,UNREVIEWED,,0,41920070,Saint-Tite,Geography,MAPS_TO,,<auto>,1658924396463,
AW,ARUBA,1,,1.00,UNCHECKED,UNREVIEWED,,0,42032172,Aruba,Geography,MAPS_TO,,<auto>,1658924396494,
BS,BAHAMA'S,1,,0.39,UNCHECKED,UNREVIEWED,,0,41972360,Aham,Geography,MAPS_TO,,<auto>,1658924396495,
FO,FAEROËR,1,,0.89,UNCHECKED,UNREVIEWED,,0,41953849,Oroër,Geography,MAPS_TO,,<auto>,1658924396517,
VU,VANUATU,1,,0.73,UNCHECKED,UNREVIEWED,,0,42060177,Anua,Geography,MAPS_TO,,<auto>,1658924396534,
CZ,TSJECHIË,1,,0.57,UNCHECKED,UNREVIEWED,,0,42033971,Oentsjerk,Geography,MAPS_TO,,<auto>,1658924396543,
KI,KIRIBATI,1,,0.68,UNCHECKED,UNREVIEWED,,0,41909344,Kiri,Geography,MAPS_TO,,<auto>,1658924396577,
KH,CAMBODJA,1,,0.50,UNCHECKED,UNREVIEWED,,0,41936452,Cambon,Geography,MAPS_TO,,<auto>,1658924396665,
IO,BRITS TERRITORIUM IN DE INDISC,1,,0.45,UNCHECKED,UNREVIEWED,,0,41906520,Cerrito,Geography,MAPS_TO,,<auto>,1658924396680,
